% Roberts/Ramsay Age Model May 2019
%z	mu	sigma	sed	from_68_2	to_68_2	from_95_4	to_95_4
0	-63	1	0.000252	-62	-64	-61	-65
0.005	-43	18	0.000252	-18	-65	-15	-66
0.01	-24	34	0.000252	25	-65	30	-66
0.015	-4	51	0.000252	69	-66	76	-67
0.02	16	67	0.000252	113	-66	121	-67
0.025	36	84	0.000252	156	-67	167	-68
0.03	56	100	0.000252	200	-67	213	-69
0.035	76	117	0.000252	244	-68	258	-69
0.04	96	133	0.000252	287	-68	304	-70
0.045	116	150	0.000252	331	-69	349	-71
0.05	136	167	0.000252	374	-69	395	-71
0.055	156	183	0.000252	418	-70	441	-72
0.06	176	200	0.000252	462	-70	486	-72
0.065	196	216	0.000252	505	-71	532	-73
0.07	216	233	0.000252	549	-71	577	-74
0.075	236	249	0.000253	593	-72	623	-74
0.08	256	266	0.000253	636	-72	669	-75
0.085	276	282	0.000253	680	-73	714	-75
0.09	296	299	0.000253	724	-73	760	-76
0.095	316	316	0.000253	767	-74	805	-77
0.1	336	332	0.000253	811	-74	851	-77
0.105	356	349	0.000253	855	-75	896	-78
0.11	376	365	0.000253	898	-75	942	-78
0.115	396	382	0.000253	942	-76	988	-79
0.12	416	398	0.000253	985	-76	1033	-80
0.125	436	415	0.000253	1029	-77	1079	-80
0.13	456	431	0.000253	1073	-77	1124	-81
0.135	476	448	0.000253	1116	-78	1170	-82
0.14	496	465	0.000253	1160	-78	1216	-82
0.145	516	481	0.000253	1204	-79	1261	-83
0.15	536	498	0.000254	1247	-79	1307	-83
0.155	556	514	0.000254	1291	-80	1352	-84
0.16	576	531	0.000254	1335	-80	1398	-85
0.165	595	547	0.000254	1378	-81	1444	-85
0.17	615	564	0.000254	1422	-81	1489	-86
0.175	635	580	0.000254	1466	-82	1535	-86
0.18	655	597	0.000254	1509	-82	1580	-87
0.185	675	614	0.000254	1553	-83	1626	-88
0.19	695	630	0.000254	1596	-83	1672	-88
0.195	715	647	0.000254	1640	-84	1717	-89
0.2	735	663	0.000254	1684	-84	1763	-90
0.205	755	680	0.000254	1727	-85	1808	-90
0.21	775	696	0.000254	1771	-85	1854	-91
0.215	795	713	0.000254	1815	-86	1900	-91
0.22	815	729	0.000254	1858	-86	1945	-92
0.225	835	746	0.000255	1902	-87	1991	-93
0.23	855	763	0.000255	1946	-87	2036	-93
0.235	875	779	0.000255	1989	-88	2082	-94
0.24	895	796	0.000255	2033	-88	2128	-94
0.245	915	812	0.000255	2077	-89	2173	-95
0.25	935	829	0.000255	2120	-89	2219	-96
0.255	955	845	0.000255	2164	-90	2264	-96
0.26	975	862	0.000255	2207	-90	2310	-97
0.265	995	878	0.000255	2251	-91	2356	-98
0.27	1015	895	0.000255	2295	-91	2401	-98
0.275	1035	912	0.000255	2338	-92	2447	-99
0.28	1055	928	0.000255	2382	-92	2492	-99
0.285	1075	945	0.000255	2426	-93	2538	-100
0.29	1095	961	0.000255	2469	-93	2584	-101
0.295	1115	978	0.000255	2513	-94	2629	-101
0.3	1135	994	0.000255	2557	-94	2675	-102
0.305	1155	1011	0.000256	2600	-95	2720	-102
0.31	1175	1027	0.000256	2644	-95	2766	-103
0.315	1195	1044	0.000256	2688	-96	2811	-104
0.32	1214	1061	0.000256	2731	-96	2857	-104
0.325	1234	1077	0.000256	2775	-97	2903	-105
0.33	1254	1094	0.000256	2819	-97	2948	-105
0.335	1274	1110	0.000256	2862	-98	2994	-106
0.34	1294	1127	0.000256	2906	-98	3039	-107
