% JOURNAL OF QUATERNARY SCIENCE (2016) 31(7) 671Ð677 ISSN 0267-8179. DOI:
% 10.1002/jqs.2893 Drivers of ecosystem and climate change in tropical West
% Africa over the past $540 000 years CHARLOTTE S. MILLER,1* WILLIAM D.
% GOSLING,1,  DAVID B. KEMP,1,à ANGELA L. COE1 and IAIN GILMOUR2
% 1Department of the Environment, Earth and Ecosystems, The Open
% University, Milton Keynes MK7 6AA, UK 2Department of Physical Sciences,
% The Open University, Milton Keynes MK7 6AA, UK Received 17 September
% 2015; Revised 7 April 2016; Accepted 4 August 2016
% 
% Age (ka)	Poaceae (%)
0.53238708	15.955833
2.7370356	8.5392598
4.3905219	17.927327
5.6030786	10.229112
6.9258677	8.9147825
7.256565	12.76389
10.012376	15.768071
10.784003	2.4370161
11.776094	6.3800043
12.657954	5.2534363
15.634229	6.9432884
18.094224	85.830742
19.622281	91.361635
21.277676	85.0716
22.805732	86.264538
24.588465	77.913974
28.91796	77.154832
35.794215	88.867311
39.614357	86.04764
43.052485	87.457476
59.825075	36.571133
62.933914	66.283961
67.251747	83.346774
71.396866	18.331575
74.678419	55.251971
80.032531	72.020596
95.058589	69.372919
102.31255	27.157168
109.56651	48.779869
110.25736	20.685066
111.81178	28.6281
112.67535	14.801338
113.88434	7.5937707
116.47504	16.27227
118.02946	30.687405
118.37489	11.271101
119.41116	8.47633
124.07442	12.889126
125.1107	9.3588892
127.18326	6.4170251
127.7014	62.459538
128.9104	3.1809744
129.42854	91.289807
131.67381	80.846189
132.71009	91.142714
139.61862	94.672951
146.87258	92.613646
154.29925	96.143883
161.03507	97.173535
174.85214	91.289807
182.45152	91.289807
185.73307	88.495036
190.39633	90.99562
191.95075	87.465383
197.13215	92.319459
199.89557	88.347943
204.2134	95.702603
208.87666	82.905494
210.25836	83.19968
210.94922	98.644467
212.84906	54.957784
213.71263	39.365904
215.26705	49.515335
215.9579	28.039727
217.68504	90.99562
219.23946	68.931639
222.17558	93.643298
228.22055	93.349112
230.63853	91.4369
232.88381	25.244956
237.20164	90.848527
244.11017	29.657752
247.56444	89.965968
251.36413	25.244956
253.6094	14.360058
257.4091	7.8879571
259.48166	92.907832
261.72693	98.791561
263.10863	94.525857
265.52662	94.378764
268.63546	52.01592
275.19857	91.4369
277.27113	90.848527
282.79795	18.919948
285.73408	26.715888
286.77036	74.226995
289.18834	15.536804
294.36974	25.097863
297.47858	75.84502
301.6237	95.702603
304.73254	70.990944
308.53223	67.019427
310.95022	70.843851
314.05906	56.722903
316.30433	92.466553
318.37689	16.125177
319.7586	61.429885
322.3493	23.626931
324.07643	18.331575
331.15768	92.760739
334.95737	55.104877
335.99365	17.449016
338.58435	63.342097
341.69319	59.37058
342.90218	6.5641183
345.83831	19.067041
349.11986	5.8286522
353.26498	96.585162
356.20111	76.139206
360.51894	96.879349
364.31863	95.11423
366.04576	39.954277
367.7729	88.936315
372.26344	69.667105
375.37228	68.931639
379.69012	50.397895
383.48981	52.898479
387.11679	60.841513
390.22563	74.226995
392.64361	7.7408639
395.57974	12.447847
397.30687	28.333913
400.76114	30.246125
404.56083	44.21998
407.84238	9.6530757
412.16022	13.624592
416.99619	9.9472621
419.93232	82.464214
422.52302	81.728748
424.25015	0.97457631
426.84085	81.875841
429.60426	84.229333
430.81325	28.039727
431.67682	86.582824
439.62163	49.956615
441.69419	67.166521
444.80303	68.931639
446.35745	72.903156
448.77544	87.31829
449.81172	50.103708
453.09327	83.788053
456.89296	79.669443
460.69266	30.687405
464.14692	24.50949
465.87406	10.682728
467.25576	65.401402
468.98289	67.166521
471.40088	36.276947
479.00027	25.244956
481.07283	6.5641183
482.45453	12.742033
485.21795	10.535635
485.39066	21.273439
487.29051	21.273439
491.43562	4.2106269
494.54446	59.664767
498.17144	38.630438
500.93486	38.189158
503.69827	41.425209
504.0437	28.18682
506.97982	44.367073
510.77951	20.537973
515.27006	45.396726
517.51533	32.452523
522.00588	64.224656
526.66914	79.375257
527.53271	76.874672
530.1234	80.257816
532.19596	57.752555
532.7141	52.4572
537.03194	57.899648
539.96806	59.958953
542.73148	27.451354
549.98543	84.08224
552.74885	95.849696
