%Depth	TC [%]	TIC [%]	TOC [%]
0.60	1.00	0.91	0.09
0.92	1.58	1.39	0.18
1.24	1.94	1.75	0.19
1.54	1.91	1.67	0.24
1.84	1.29	1.15	0.14
2.16	0.67	0.50	0.18
2.47	1.42	1.24	0.18
2.48	1.20	1.02	0.18
2.79	1.50	1.37	0.13
3.04	4.73	4.42	0.31
3.36	1.80	1.67	0.13
3.68	3.69	3.48	0.20
3.92	2.44	2.16	0.28
3.99	2.11	1.84	0.27
4.24	4.12	3.81	0.31
4.31	2.17	1.79	0.38
4.56	1.95	1.60	0.35
4.88	2.11	1.99	0.12
5.20	2.10	1.91	0.19
5.51	0.62	0.55	0.07
5.83	0.37	0.34	0.03
6.15	0.46	0.38	0.08
6.35	2.16	1.97	0.19
6.67	2.17	1.99	0.18
6.99	0.59	0.50	0.09
7.23	0.25	0.29	0.04
7.62	0.45	0.42	0.02
7.92	0.50	0.44	0.07
8.24	3.86	3.52	0.35
8.54	2.32	2.12	0.19
8.86	1.95	1.82	0.13
9.18	1.83	1.61	0.22
9.49	2.29	2.22	0.08
9.81	1.64	1.56	0.08
10.13	2.33	1.97	0.37
10.47	3.49	3.43	0.07
10.79	1.80	1.55	0.25
11.10	2.03	1.87	0.15
11.42	1.72	1.48	0.24
11.74	3.03	2.82	0.20
12.06	1.51	1.31	0.20
12.37	1.68	1.41	0.27
12.69	1.94	1.76	0.18
13.01	2.01	1.81	0.21
13.33	1.26	0.69	0.57
13.65	1.93	1.55	0.38
13.97	1.18	0.91	0.28
14.29	2.41	2.24	0.16
14.60	1.83	1.55	0.28
18.00	1.92	1.62	0.30
18.21	2.34	2.21	0.13
18.32	1.37	1.16	0.21
18.64	1.77	1.65	0.12
18.96	2.56	2.29	0.27
19.28	2.85	2.60	0.25
19.60	2.60	2.19	0.41
19.92	2.29	1.93	0.36
20.24	2.06	1.80	0.26
20.56	2.75	2.52	0.23
20.92	3.19	3.07	0.12
21.23	2.32	1.87	0.45
21.55	3.76	3.48	0.28
21.87	2.81	2.72	0.09
22.19	2.68	2.62	0.06
22.52	3.96	2.65	1.32
22.84	3.00	2.79	0.21
23.16	2.93	2.87	0.06
23.48	2.43	2.43	0.00
23.90	2.89	2.85	0.05
24.22	3.16	2.96	0.20
24.54	2.36	2.13	0.23
24.86	1.55	1.48	0.07
25.18	1.60	1.49	0.11
25.51	2.45	2.41	0.04
25.83	2.02	1.97	0.05
26.15	1.27	1.16	0.12
26.47	2.09	1.76	0.33
26.88	2.51	1.97	0.53
27.20	2.27	2.08	0.19
27.52	2.13	1.78	0.35
27.84	3.11	3.10	0.01
28.15	1.76	1.68	0.08
28.79	2.93	2.83	0.10
29.11	1.78	1.70	0.08
29.39	2.41	2.32	0.09
29.55	1.15	1.14	0.02
29.87	0.96	0.87	0.09
30.15	0.80	0.66	0.14
30.47	0.77	0.53	0.24
30.79	0.81	0.50	0.31
31.11	0.46	0.15	0.31
31.43	0.43	0.13	0.30
31.76	1.61	1.32	0.29
32.08	1.06	0.86	0.20
32.40	2.05	1.78	0.26
32.72	1.75	1.53	0.21
33.04	1.37	1.14	0.23
33.80	1.81	1.64	0.16
34.12	2.43	2.27	0.16
34.44	1.34	1.19	0.15
34.76	1.22	1.07	0.15
35.06	1.63	1.49	0.14
35.38	1.37	1.22	0.15
35.70	1.80	1.66	0.14
36.00	2.27	2.12	0.15
36.32	0.83	0.67	0.16
36.64	1.59	1.39	0.20
36.89	1.20	0.89	0.31
37.50	0.96	0.52	0.44
37.82	0.87	0.33	0.54
