% Johnson, T.C.; Werne, J.P.; Brown, E.T.; Abbott, A.; Berke, M.; Steinman,
% B.A.; Halbur, J.; Contreras, S.; Grosshuesch, S.; Deino, A.L.; Lyons,
% R.P.; Scholz, C.A.; Schouten, S.; Sinninghe Damste, J.S. (2016): A
% Progressively Wetter Climate In Southern East Africa Over The Past 1.3
% Million Years. ­doi:10.1038/nature19065 Nature
%
% Re-scaled Ca 20 pt smth
% YBP	Ca 20 pt smth
11200.65732	1.5085
11220.83178	1.497475
11241.00623	1.492225
11261.18069	1.481925
11281.35514	1.4644
11301.5296	1.441275
11321.70405	1.44205
11341.8785	1.4445
11362.05296	1.43935
11382.22741	1.42675
11402.40187	1.427225
11422.57632	1.42165
11442.75078	1.423675
11462.92523	1.404025
11483.09969	1.409525
11503.27414	1.41825
11523.4486	1.413925
11543.62305	1.414475
11563.79751	1.41305
11583.97196	1.402825
11604.14642	1.401175
11624.32087	1.3939
11644.49533	1.39265
11664.66978	1.4052
11684.84424	1.4229
11705.01869	1.433025
11725.19315	1.4458
11745.3676	1.4427
11765.54206	1.432225
11785.71651	1.436875
11805.89097	1.439025
11826.06542	1.445675
11846.23988	1.442525
11866.41433	1.448525
11886.58879	1.47725
11906.76324	1.4687
11926.93769	1.475025
11947.11215	1.47635
11967.2866	1.477325
11987.46106	1.476
12007.63551	1.480075
12027.80997	1.47645
12047.98442	1.4739
12068.15888	1.45495
12088.33333	1.42985
12108.50779	1.41245
12128.68224	1.38645
12148.8567	1.37845
12169.03115	1.375
12189.20561	1.371175
12209.38006	1.367475
12229.55452	1.3596
12249.72897	1.35335
12269.90343	1.3359
12290.07788	1.3013
12310.25234	1.29375
12330.42679	1.2834
12350.60125	1.27815
12370.7757	1.2725
12417.17695	1.269775
12437.3514	1.263975
12457.52586	1.269575
12477.70031	1.26735
12497.87477	1.2639
12518.04922	1.270975
12538.22368	1.276875
12558.39813	1.276425
12578.57259	1.26905
12598.74704	1.2696
12618.9215	1.2612
12637.82293	1.250525
12655.6828	1.245275
12673.54268	1.242075
12691.40255	1.235875
12709.26242	1.23215
12727.12229	1.2371
12744.98217	1.23205
12762.84204	1.2263
12780.70191	1.2234
12798.56178	1.2208
12816.42166	1.215975
12834.28153	1.2064
12852.1414	1.19785
12870.00127	1.196425
12887.86115	1.190325
12905.72102	1.1878
12923.58089	1.190425
12941.44076	1.19325
12959.30064	1.19355
12977.16051	1.19445
12995.02038	1.198575
13012.88025	1.1991
13030.74013	1.1964
13048.6	1.1971
13066.45987	1.200125
13084.31975	1.1933
13102.17962	1.198425
13120.03949	1.19845
13137.89936	1.202125
13155.75924	1.2073
13173.61911	1.2215
13191.47898	1.2441
13209.33885	1.25245
13227.19873	1.25425
13245.0586	1.2636
13262.91847	1.27215
13280.77834	1.2831
13298.63822	1.2915
13316.49809	1.307525
13335.1037	1.320975
13355.44938	1.325775
13375.79506	1.335575
13396.14074	1.349175
13416.48642	1.364375
13436.8321	1.38
13457.17778	1.3956
13477.52346	1.409425
13497.86914	1.453625
13518.21481	1.4605
13538.56049	1.466475
13558.90617	1.46725
13579.25185	1.467275
13599.59753	1.48075
13619.94321	1.497525
13640.28889	1.50875
13660.63457	1.512125
13680.98025	1.51655
13701.32593	1.528925
13721.6716	1.5221
13742.01728	1.525
13762.36296	1.53145
13782.70864	1.5351
13803.05432	1.537625
13823.4	1.543925
13843.74568	1.539975
13864.09136	1.5431
13884.43704	1.537725
13904.78272	1.51495
13925.1284	1.51065
13945.47407	1.514675
13965.81975	1.5131
13986.16543	1.503075
14006.51111	1.495075
14026.85679	1.486975
14047.20247	1.46915
14067.54815	1.4566
14087.89383	1.4491
14108.23951	1.431925
14128.58519	1.4249
