% Johnson, T.C.; Werne, J.P.; Brown, E.T.; Abbott, A.; Berke, M.; Steinman,
% B.A.; Halbur, J.; Contreras, S.; Grosshuesch, S.; Deino, A.L.; Lyons,
% R.P.; Scholz, C.A.; Schouten, S.; Sinninghe Damste, J.S. (2016): A
% Progressively Wetter Climate In Southern East Africa Over The Past 1.3
% Million Years. ­doi:10.1038/nature19065 Nature
%	
% Johnson et al. Nature 2016	
% YBP	C31
490.3755459	-29.66
999.6855895	-27.57
7746.831325	-30.72
9766.269076	-29.76
11230.919	-28.79
11755.45483	-27.33
12340.51402	-28.16
12558.39813	-27.29
17253.26027	-27.84
20338.11735	-26.86
21715.30848	-27
24045.85011	-27.3
29359.17892	-27.27
32165.54371	-31.03
38527.47729	-28.74
39922.60111	-28.9
41485.39287	-29.14
44930.49455	-28.79
47666.9619	-28.5
60874.76677	-29.07
66505.87879	-28.47
71472.64613	-29.56
74035.11845	-30.3
81407.01016	-29.5
85599.46007	-30.93
89507.90532	-30.07
97372.12992	-29.71
104459.5252	-29.8
109867.3442	-27.6
115209.4431	-27.96
117647.343	-28.96
121937.9216	-29.57
123574.6631	-30.56
126023.0413	-28.5
126106.7966	-29.75
129928.135	-31.73
130210.8093	-29.09
134386.0141	-27.31
137967.3917	-27.59
141206.0799	-27.28
142093.7602	-30.27
144091.4893	-25.46
146272.1343	-27.8
146481.9496	-29.29
149679.3921	-28.12
151239.5575	-27.79
156260.7796	-29.25
157878.3304	-28.04
159452.8422	-26.98
162411.7766	-28.04
163428.5741	-26.62
165693.5039	-28.89
169315.9569	-27.95
174676.1114	-28.29
175108.2952	-27.4
179751.0593	-29.48
182863.1942	-28.42
187207.5849	-26.47
188067.8954	-26.72
194845.8804	-27.76
196584.4144	-26.08
201087.7536	-27.29
208861.3749	-26.56
210492.6865	-27.88
216022.2969	-27.17
218584.1454	-29.95
219621.9047	-30.12
227893.344	-27.01
227912.4909	-27.61
233882.4788	-29.34
236700.8952	-28.01
242330.0692	-26.53
250180.2778	-27.3
259348.6689	-27.46
263739.9012	-28.19
273570.2734	-28.13
285097.2581	-26.86
298021.453	-28.86
303360.7923	-28.26
315686.1828	-29.31
320027.5147	-28.84
324318.9462	-29.85
336241.2785	-24.51
337895.0693	-27.5
339212.1155	-25.04
341060.47	-28.94
342766.6433	-27.39
344827.3519	-29.49
360788.45	-30.04
376229.0774	-29.15
392970.8814	-28.11
405185.8641	-29.51
416503.5937	-30.5
423940.9589	-31.22
448927.0936	-28.58
465499.439	-28.02
481096.9406	-29.84
494969.7184	-27.23
512816.8596	-27.31
524790.0987	-27.97
530535.5442	-29.15
537876.9468	-26.19
544046.6502	-25.59
551290.7469	-26.3
562267.9978	-26.6
571645.3255	-26.98
578400.5568	-26.85
588977.8268	-30.48
595428.3604	-27.87
601890.6942	-28.81
610679.4682	-27.95
616920.2363	-27.39
626299.8523	-24.29
632836.0414	-27.9
640812.4077	-29
646720.8272	-26.29
655324.9631	-28.46
661418.0207	-27.39
669542.0975	-27.65
686048.7445	-26.77
692474.1507	-27.05
699675.0369	-29.09
709645.4948	-23.91
715295.421	-26.4
735347.1196	-24.14
741735.5982	-24.72
749564.2541	-24.7
756838.9956	-29.67
764778.4343	-28.39
770206.7947	-24.97
784276.2186	-26.46
794521.1411	-28.44
806747.3255	-26.96
816426.3882	-28.31
825596.0265	-25.08
840241.9766	-25.02
849857.3612	-25.19
865840.5502	-24.24
876092.7152	-24.44
887172.6949	-27.03
904238.4106	-25.17
915696.4618	-24.78
920824.9534	-25.31
925700.1862	-27.09
928074.4879	-24.7
942730.6122	-22.35
946434.6939	-23.51
950700	-26.22
954740.8163	-25.11
956918.3673	-30.08
961183.6735	-24.37
966189.7959	-22.55
971689.7959	-23.31
975124.4898	-24.68
977212.2449	-24.4
985900	-26.72
989436.7568	-23.13
991649.7297	-25.58
994484.3243	-22.99
997244.3243	-23.6
999954.5946	-25.82
1001210.27	-25.52
1003249.189	-26.13
1006158.378	-24.24
1008072.973	-24.01
1011644.32	-22.49
1021189.398	-23.28
1028809.419	-22.43
1045573.464	-24.72
1051509.059	-24.11
1060452.557	-25.69
1066909.521	-23.8
1071462.072	-24.5
1081809.305	-24.77
1093724.3	-23.78
1099054.693	-22.5
1110091.741	-24.65
1123276.418	-27.18
1131156.41	-25.39
1138455.771	-25.39
1146045.448	-23.64
1154879.334	-25.05
1165423.842	-25.62
1167889.631	-25.44
1175123.523	-24.5
1180940.607	-22.68
1183501.759	-24.18
1185953.925	-25.62
1189455.074	-25.28
1197260	-20.35
1210580	-24.59
1220385.279	-24.14
1224825.167	-24.77
1227925.75	-22.17
1232439.024	-24.52
1235778.113	-25.87
1237576.084	-27.41
1240584.933	-26.75
1244492.768	-25.75
1248052.017	-25.34
1252400.171	-24.58
1255298.941	-23.98
1258271.097	-23.77
1261500.106	-25.36
1264857.542	-27.4
1267976.471	-25.33
1269590.975	-26.25
1275150.008	-25.34
