% Splice Depth (mcd)	KG-Mean (µm)
0.61	44.36
0.93	32.92
1.25	40.34
1.55	69.38
1.85	66.27
2.17	131.54
2.478	76.67
2.49	149.88
2.798	70.66
3.046	30.87
3.366	50.73
3.686	49.04
3.933	31.38
4.001	42.58
4.263	35.3
4.314	44.17
4.568	35.35
4.888	42.63
5.208	33.55
5.524	62.69
5.844	62.29
6.164	66.5
6.359	39.26
6.679	47.49
6.999	84.01
7.319	31.4
7.629	58.09
7.932	60.3
8.252	38.74
8.552	35.8
8.872	31.47
9.192	23.2
9.5	22.07
9.82	40.71
10.14	28.94
10.475	14.57
10.795	36.65
11.105	28.08
11.425	21.95
11.745	25.87
12.065	57.61
12.697	32.61
13.017	32.28
13.337	29.87
13.657	20.79
13.977	42.61
14.297	26.27
14.613	12.8
18.011	27.66
18.22	30.78
18.331	13.86
18.651	29.89
18.971	13.57
19.288	39.6
19.608	33.79
19.928	37.3
20.248	30.41
20.568	28.23
20.931	20.25
21.241	10.89
21.561	21.31
21.881	18.18
22.528	12.98
22.848	18.79
23.168	25.49
23.488	18.24
23.913	26.7
24.233	13.33
24.553	25.64
24.873	51.82
25.193	59.99
25.518	32.6
25.838	29.87
26.156	27.99
26.476	13.89
26.886	26.87
27.206	45.64
27.526	39.41
27.846	23.19
28.159	22.56
28.799	23.57
29.119	30.28
29.398	29.93
29.448	27.67
29.876	22.13
30.163	30.83
30.483	58.51
30.803	79.63
31.123	86.27
31.443	110.89
31.773	17.96
32.093	71.25
32.409	24.68
32.729	26.85
33.049	30.98
33.814	30.51
34.134	24.26
34.454	29.22
34.774	27.84
35.066	28.97
35.386	30.38
35.706	32.05
36.007	23.79
36.327	30.9
36.647	20.31
36.904	23.5
37.834	26.19
38.154	15.28
38.474	20.2
38.806	29.93
39.126	31.57
39.447	27.55
39.767	31.08
40.087	29.86
40.433	27.18
40.753	27.33
41.074	23.32
41.409	27.78
41.729	24.52
42.059	42.03
42.219	34.73
43.019	239.51
43.979	264.77
44.789	196.34
45.429	235.39
46.049	214.37
46.549	198.48
46.919	36.82
47.079	13.93
47.399	36.8
49.444	14.94
49.604	19.12
50.012	25.6
50.332	20.79
50.652	29.06
50.967	26.28
51.287	92.44
51.607	24.73
51.927	20.87
52.211	29.28
52.69	66.63
53.475	173.06
54.715	206.17
55.045	66.85
57.885	148.99
60.725	66.85
61.045	65.26
61.355	3.21
61.675	24.68
61.995	25.44
62.335	16.58
62.655	39.54
62.975	31.48
63.295	35.4
63.615	64.72
63.947	26.75
64.267	86.04
64.587	76.89
64.907	101.38
65.538	163.63
66.178	174.64
67.037	12.19
67.357	17.6
67.677	10.57
67.95	14.72
67.997	20.36
68.27	29.85
68.595	69.96
68.915	21.26
69.235	57.73
69.555	22.21
69.746	4.62
69.875	31.64
70.066	40.21
70.195	31.06
70.515	25.56
70.846	292.94
71.326	61.05
71.646	31.22
71.889	23.78
71.966	31.19
72.529	15.02
72.849	13.11
73.179	18.57
73.8	47.74
74.115	46.16
74.435	49.69
74.755	71.76
75.075	12.84
75.405	16.16
75.725	18.28
76.045	11.31
76.36	7.31
76.68	10.6
77	10.12
77.32	13.69
77.77	50.53
78.11	66.08
80.2	94.98
81.37	17.41
81.69	12.94
81.95	13.06
82.32	18.36
82.635	15.32
82.96	22.87
83.28	24.86
83.6	36.94
83.92	69.96
84.24	85.85
84.56	70.73
84.88	27.73
85.2	66.88
85.52	57.97
85.84	27.05
86.16	53.39
86.48	107
86.8	12.22
87.869	16.12
88.189	28.14
88.509	19.75
88.829	16.14
89.15	13.89
89.47	13.8
89.79	15.28
90.11	11.49
90.869	14.8
91.189	12.41
91.509	14.75
91.829	26.76
92.148	27.55
92.468	32
92.788	31.25
93.108	55.87
94.616	18.03
94.938	19.16
95.258	11.25
95.491	22.64
95.578	12.66
95.768	20.58
95.811	28.58
96.131	24.05
96.451	25.85
96.771	37.65
97.091	37.72
97.411	19.79
97.731	12.77
97.971	15.53
98.251	5.574
98.571	9.087
98.891	11.52
99.204	10.93
99.524	22.29
99.844	22.16
100.166	9.47
100.486	28.61
101.089	10.36
101.409	9.844
101.729	16.08
105.554	14.9
105.874	5.622
106.194	10.83
106.514	7.963
107.079	13.91
107.399	10.47
107.719	14.02
108.039	14.47
108.355	4.838
108.595	6.299
108.699	20.49
108.939	12.37
109.397	11.7
109.717	11.99
110.037	13.94
110.36	16.51
110.68	16.07
111	19.27
111.775	70.65
112.095	93.06
112.415	43.5
112.585	19.87
112.77	28.35
113.09	25.3
113.580	23.14
113.900	27.33
114.220	14.71
114.490	9.828
114.491	18.8
114.59	13.3
114.91	67.72
115.23	20.38
115.55	41.02
115.87	22
116.19	30.16
116.51	14.18
116.83	14.88
117.15	12.97
117.465	15.43
117.785	14.51
117.915	17.4
117.934	14.56
118.254	15.01
118.574	11.89
118.894	11.88
119.219	11.36
119.539	19.78
119.66	12.52
119.972	22.8
120.292	20.49
120.612	15.12
120.932	13.82
121.072	13.34
121.729	15.47
121.989	13.26
122.309	16.84
122.629	14.53
123.039	19.41
123.26	36.14
123.58	16.47
123.9	12.58
124.22	43.5
124.55	24.63
124.87	40.53
125.19	94.3
125.51	34.65
125.83	25.39
126.147	14.9
126.467	38.99
126.587	42.86
127.098	84.5
127.418	98.73
127.808	43.68
128.128	23.06
128.453	21.37
128.773	14.01
129.093	22.3
129.413	16.85
129.733	16.38
130.048	17.66
130.368	14.44
130.688	23.17
131.008	28.91
131.328	26.82
131.653	13.53
131.973	12.83
132.293	17.04
132.613	14.09
132.933	31.59
133.344	23.67
133.664	22.62
133.984	26.07
134.304	31.2
134.626	19.25
134.966	48.53
135.286	56.35
135.537	36.81
135.857	20.73
136.177	20.7
136.497	30.83
136.817	39.22
137.137	34.54
137.457	16.47
137.777	17.03
138.097	19.37
138.357	19.04
138.677	31.44
138.997	21.97
139.317	34.08
139.637	13.16
139.957	23.66
140.277	19.89
140.94	14.3
141.26	14.63
141.58	15.68
141.9	36.85
142.216	34.2
142.526	61.69
142.846	60.61
143.166	38.23
143.478	29.34
143.798	88.14
144.118	84.62
145.446	74
145.766	27.47
146.086	17.12
146.406	17.32
146.726	34.38
147.356	20.88
147.676	19.36
147.996	15.48
148.316	17.54
148.636	30.42
148.956	17.72
149.276	19.4
149.596	26.99
149.916	23.96
150.228	27
150.548	5.96
150.868	41.93
151.188	16.46
151.488	10.66
151.688	12.34
152.008	22.61
152.328	20.7
152.648	25.94
152.968	18.18
153.1	16.49
153.42	14.73
153.74	18.3
154.06	15.28
154.38	49.23
154.51	14.8
154.627	70.31
154.947	66.83
155.267	24.79
155.592	100.5
156.882	19.2
157.202	11.38
157.522	9.121
157.842	7.07
161.466	14.92
161.786	14.47
162.106	23.55
163.695	6.761
164.015	5.947
164.335	5.882
164.655	8.845
165.81	9.992
166.13	7.69
166.45	9.048
166.539	5.21
166.859	49.53
167.300	9.225
167.610	5.603
170.326	117.3
170.646	11.22
170.966	10.9
171.286	16.29
178.179	26.09
178.499	29.53
178.819	30.73
180.924	22.05
181.244	24.94
181.564	57.94
181.884	87.73
182.364	138.9
182.684	57.3
182.984	27.52
183.318	5.358
183.638	22.86
183.958	9.635
184.258	10.54
185.287	11.3
185.607	13.27
185.927	13.47
186.247	7.789
187.693	10.84
188.013	10.23
188.313	9.859
188.653	6.711
188.973	6.298
189.293	11.18
194.916	22.16
195.236	22.03
195.556	33.7
195.876	23.03
196.196	18.95
197.811	7.73
199.579	13.55
199.899	15.7
200.219	15.18
200.356	14.85
200.676	12.67
200.996	14.65
201.316	14.21
201.636	11.8
202.109	11.65
202.429	22.03
202.749	15.59
203.069	28.81
203.389	8.566
203.705	29.16
204.295	4.617
204.645	7.5
204.925	17
205.822	22.76
206.142	25.16
206.462	19.69
206.664	7.375
206.782	24.56
206.984	12.51
207.304	12.72
207.624	10.27
210.28	45.89
210.442	50.22
210.6	45.45
210.762	17.17
210.92	58.77
212.128	29.69
212.444	51.12
212.448	34
212.764	57.22
212.768	26.3
213.658	54.6
215.022	13.16
215.342	23.18
215.662	52.31
215.982	19.52
216.293	20.26
216.611	22.43
216.931	22.64
217.251	33.36
217.575	10.55
217.895	12.27
218.215	15.09
218.493	20.83
218.813	26.31
219.133	23.59
219.449	25.91
219.769	35.3
219.95	19.52
220.27	21.38
220.59	35.43
220.906	26.52
221.266	16.63
221.752	45.28
222.092	20.72
222.412	16.13
222.727	14.46
223.047	13.99
223.374	60
224.014	35.78
224.334	37.23
224.467	13.67
224.654	33.11
224.787	16.07
225.107	17.31
225.427	24.51
225.428	24.24
225.747	26.67
226.067	38.9
226.473	27.15
226.793	38.32
227.113	16.66
227.433	35.47
227.777	21.35
228.097	17.48
228.417	13.43
228.762	51.41
229.082	41.72
229.402	154.9
229.722	22.42
230.032	51.03
230.352	79.73
230.672	51.45
230.752	54.06
230.992	32.17
231.312	58.51
231.632	306.7
232.012	48.67
232.332	73.07
232.652	87.44
232.967	70.77
233.287	61.95
233.607	11.07
233.835	16.43
234.345	73.98
234.795	12.01
235.111	11.82
235.431	11.24
235.751	10.37
236.071	11.21
236.391	11.22
236.706	12.54
237.026	13.18
237.346	14.06
237.666	31.94
237.986	36.39
238.298	33.23
238.618	61.63
238.938	47.89
239.258	71.49
239.578	21.15
239.901	32.93
240.221	11.36
240.541	11.97
240.861	12.57
241.181	13.12
241.501	12.56
241.821	12.1
242.141	32.89
242.462	14.75
242.782	13.49
242.938	83.62
243.102	13.63
243.258	64.14
243.422	31.32
243.578	63.57
243.898	71.29
244.218	34.79
244.538	18.74
244.858	58.81
244.937	11.56
245.257	14.97
245.577	11.85
245.897	8.876
246.209	51
246.529	6.973
246.849	44.85
247.174	53.33
247.494	54.23
247.814	47.12
248.129	12.49
248.374	10.06
248.694	12.08
249.004	15.84
249.338	17.14
249.658	19.61
249.978	11.55
250.298	12.58
250.618	10.49
250.938	9.926
251.258	28.14
251.429	55.62
251.749	25.72
252.069	2.985
252.426	13.7
252.746	25.84
253.066	18.15
253.356	16.72
253.708	12.39
253.906	8.118
254.028	19.02
254.226	14.25
254.541	21.19
254.861	10.35
255.181	16.68
255.501	73.08
256.208	17.57
256.533	9.216
256.853	5.822
257.173	5.428
257.484	7.687
257.804	12.72
259.392	12.04
259.712	16.96
260.032	17.76
260.352	24.28
260.672	7.442
261.07	13.36
261.39	14.66
261.706	16.99
262.026	34
262.346	56.25
