%1	2	3	4	5	6
%depth 	Smectite abundance	Illite abundance	Analcime 	Analcime	Smectite Inverted 
%midpoint mcd	group	group	group	intensity	group
0.53	6	8	10	10310	-6
0.93	5	5	8	8820	-5
1.17	5	5	5	5370	-5
1.55	5	1	0	3290	-5
1.77	8	1	0	3080	-8
1.77	8	1	0	3080	-8
2.17	10	1	0	3100	-10
2.398	8	2	0	2930	-8
2.41	7	4	0	3080	-7
2.478	7	4	1	3320	-7
2.718	8	2	0	3060	-8
2.931	1	2	8	8240	-1
2.951	2	3	5	5510	-2
3.046	4	3	7	6810	-4
3.286	1	8	8	7560	-1
3.686	1	5	7	6830	-1
3.921	1	3	7	6740	-1
4.171	5	6	7	6960	-5
4.314	4	8	10	10290	-4
4.568	4	6	8	8430	-4
4.808	4	4	8	7910	-4
5.208	1	2	7	6910	-1
5.444	1	5	11	11040	-1
5.844	2	7	11	10840	-2
6.084	1	5	10	10450	-1
6.359	5	5	9	9030	-5
6.599	4	5	9	9150	-4
6.999	3	4	10	10020	-3
7.239	3	5	10	9580	-3
7.629	3	5	9	9370	-3
7.852	0	7	9	8770	0
8.252	2	4	8	7960	-2
8.472	2	3	10	9500	-2
8.872	4	4	10	10200	-4
9.112	4	4	9	9250	-4
9.74	3	5	9	9090	-3
10.14	3	5	9	9410	-3
10.405	4	10	6	6070	-4
10.795	5	7	8	8710	-5
11.035	6	10	8	7870	-6
11.425	6	8	10	10380	-6
11.665	2	5	10	9740	-2
12.065	4	4	12	12250	-4
12.697	3	4	8	8790	-3
12.937	2	4	8	8360	-2
13.337	5	6	12	12470	-5
13.577	3	3	11	11540	-3
13.977	4	4	11	11240	-4
14.613	6	8	12	11750	-6
17.931	2	4	10	9640	-2
18.14	4	5	10	10430	-4
18.22	4	6	11	11300	-4
18.331	1	5	10	9870	-1
18.571	3	6	8	8170	-3
18.971	6	7	9	9040	-6
19.208	7	6	10	9830	-7
19.608	3	4	9	8660	-3
19.848	6	3	10	9630	-6
20.248	7	5	7	6800	-7
20.488	4	3	7	6920	-4
21.241	2	4	6	6810	-2
21.561	1	4	5	5130	-1
21.801	1	3	5	5450	-1
22.201	3	6	7	6800	-3
22.848	2	4	7	7280	-2
23.088	7	8	4	4300	-7
23.488	5	5	4	4250	-5
23.833	2	8	6	5610	-2
24.233	4	6	6	6380	-4
24.473	4	7	6	7340	-4
24.873	2	7	9	8880	-2
25.113	1	9	9	9270	-1
25.518	3	6	9	8690	-3
25.758	5	5	10	10490	-5
26.156	5	7	11	11330	-5
26.396	5	6	12	11570	-5
26.886	8	5	7	7010	-8
27.126	5	7	8	7980	-5
27.526	4	5	7	7060	-4
27.766	2	3	6	6300	-2
28.159	2	5	8	7500	-2
28.399	2	4	6	6230	-2
28.799	3	3	6	6100	-3
29.039	1	5	7	6780	-1
29.398	2	3	6	6976	-2
29.796	5	4	8	8490	-5
30.163	10	8	3	3510	-10
30.403	9	8	0	3300	-9
30.803	9	10	0	3000	-9
31.043	10	7	0	3000	-10
31.443	10	9	0	3360	-10
31.693	5	5	0	2690	-5
32.093	9	1	0	3420	-9
32.333	5	2	9	9060	-5
32.729	4	8	8	8180	-4
33.814	6	6	7	6950	-6
34.054	4	7	6	6180	-4
34.454	5	7	8	7610	-5
34.694	4	6	8	7690	-4
35.066	5	10	9	9020	-5
35.306	6	6	8	8000	-6
35.706	7	6	8	7780	-7
35.927	7	7	8	7990	-7
36.327	5	5	10	1049	-5
36.567	8	4	11	11330	-8
36.904	2	3	14	14130	-2
37.434	6	5	14	18450	-6
37.834	10	9	14	19000	-10
38.074	6	8	14	15510	-6
38.474	6	6	7	6660	-6
38.726	4	6	8	8124	-4
39.126	7	5	7	7540	-7
39.367	7	6	7	7437	-7
39.767	6	6	7	7540	-6
40.007	5	5	8	7781	-5
40.433	10	7	0	3140	-10
40.673	9	6	0	3210	-9
41.074	10	6	0	3680	-10
41.329	8	8	0	3310	-8
41.729	10	6	0	3860	-10
41.979	8	7	0	3110	-8
46.919	7	4	0	2810	-7
47.399	8	2	3	3180	-8
49.364	3	4	3	3720	-3
49.604	3	4	5	5090	-3
49.79	2	3	5	4550	-2
50.332	1	2	4	4120	-1
50.572	2	3	4	3830	-2
50.967	1	2	4	3630	-1
51.207	1	1	3	3310	-1
51.847	1	1	4	3660	-1
52.211	7	2	4	3660	-7
53.955	4	9	0	3180	-4
54.965	7	8	0	2910	-7
57.885	7	10	0	2880	-7
60.725	8	1	0	3280	-8
60.965	5	2	0	3310	-5
61.355	7	1	0	3410	-7
61.595	8	2	0	3380	-8
61.995	6	2	0	3380	-6
62.245	4	4	0	3210	-4
62.655	7	7	0	3280	-7
62.895	7	7	0	3150	-7
63.295	8	7	0	3150	-8
63.375	10	5	0	3480	-10
63.947	5	7	0	3820	-5
64.347	8	10	0	3250	-8
64.587	9	10	0	3630	-9
64.827	10	10	0	3320	-10
66.957	9	4	0	3450	-9
67.357	7	7	0	3410	-7
67.757	8	7	0	3410	-8
67.997	10	3	0	3320	-10
68.237	9	2	0	3410	-9
68.27	10	4	0	3445	-10
68.51	8	6	0	3510	-8
68.915	6	6	0	3540	-6
69.155	9	7	0	3410	-9
69.555	3	3	0	3700	-3
69.795	6	5	0	3330	-6
70.195	6	5	0	3010	-6
70.435	5	5	0	3330	-5
70.982	4	2	3	2900	-4
71.246	6	5	0	3480	-6
71.296	4	6	1	3071	-4
71.646	4	3	0	2710	-4
71.809	7	7	6	5760	-7
71.886	3	3	0	2730	-3
72.209	7	9	6	6130	-7
72.449	8	8	5	5250	-8
72.849	5	6	2	3680	-5
73.099	9	10	2	3225	-9
73.56	3	3	0	2830	-3
73.8	4	4	0	2848	-4
74.04	5	5	0	2950	-5
74.435	3	4	0	2683	-3
74.675	4	6	3	3611	-4
75.075	8	10	7	7490	-8
75.485	5	6	7	6650	-5
75.725	6	7	7	7450	-6
76.045	7	7	8	8040	-7
76.36	4	6	7	6600	-4
76.6	8	6	3	3351	-8
77	9	7	3	3260	-9
77.53	10	7	0	3151	-10
77.77	9	7	0	3448	-9
78.01	9	6	0	3366	-9
80.2	10	8	0	3217	-10
80.44	10	8	0	3300	-10
80.73	10	5	3	3151	-10
81.05	7	6	0	3070	-7
81.37	10	2	0	3150	-10
81.69	8	3	0	2990	-8
81.95	9	2	0	2910	-9
82.32	7	4	0	3070	-7
82.635	4	3	0	2580	-4
82.96	8	7	0	3150	-8
83.28	6	2	0	2990	-6
83.6	10	8	0	3320	-10
83.92	7	9	0	2990	-7
84.24	6	10	6	5690	-6
84.56	5	8	0	2910	-5
84.88	8	3	0	2830	-8
85.2	9	3	0	2910	-9
85.52	6	4	0	2910	-6
85.84	6	5	0	2910	-6
86.16	4	3	0	2830	-4
86.48	8	2	0	2830	-8
86.8	6	7	0	2830	-6
87.869	5	3	6	6070	-5
88.189	4	2	5	5360	-4
88.509	2	2	1	2730	-2
88.829	5	4	3	3860	-5
89.15	6	2	0	2820	-6
89.47	5	3	0	2630	-5
89.79	5	3	0	2630	-5
90.11	4	4	0	3020	-4
90.869	4	4	0	3200	-4
91.189	5	4	0	3200	-5
91.509	5	5	0	3200	-5
91.829	7	3	0	3290	-7
92.148	7	1	0	3010	-7
92.468	7	2	0	3100	-7
92.788	8	1	0	3100	-8
93.108	7	5	0	2630	-7
94.616	7	1	0	3040	-7
94.938	5	1	0	3040	-5
95.258	7	0	0	2400	-7
95.491	7	1	0	2540	-7
95.61	7	1	0	3500	-7
95.79	9	2	0	3320	-9
95.811	7	2	0	3290	-7
96.131	7	4	0	3100	-7
96.451	8	2	0	3100	-8
96.771	8	5	0	3100	-8
97.091	9	6	0	3100	-9
97.411	7	2	0	3020	-7
97.731	9	1	0	3200	-9
97.971	8	1	0	3200	-8
98.251	9	0	0	3200	-9
98.571	8	4	0	3200	-8
98.891	8	5	0	3200	-8
99.204	9	3	0	3200	-9
99.524	10	6	0	3390	-10
99.844	10	4	0	2630	-10
100.166	9	3	0	3010	-9
100.486	7	6	0	3200	-7
101.089	7	0	0	2950	-7
101.409	8	1	0	3150	-8
101.729	7	4	0	2950	-7
103.949	6	2	0	2420	-6
104.269	5	6	0	2500	-5
104.589	6	6	0	2990	-6
104.909	5	5	0	2600	-5
105.229	5	5	0	2600	-5
105.554	6	3	0	2600	-6
105.874	5	4	0	2500	-5
106.194	5	5	0	2500	-5
106.514	6	5	0	2500	-6
107.079	6	3	0	2500	-6
107.399	6	4	0	3000	-6
107.719	6	1	0	3010	-6
108.039	8	3	0	3240	-8
108.699	7	2	0	3100	-7
108.764	7	2	0	3200	-7
108.939	6	5	0	3100	-6
109.044	5	5	0	3010	-5
109.397	6	5	0	3010	-6
109.717	6	4	0	3010	-6
110.037	7	6	0	3010	-7
110.36	7	6	0	3010	-7
110.68	7	6	0	3010	-7
111	6	6	0	3010	-6
111.775	6	7	1	3600	-6
112.095	5	6	1	3500	-5
112.415	7	6	0	3000	-7
112.585	7	5	0	3200	-7
113.58	8	4	0	3210	-8
113.9	9	4	0	3210	-9
113.95	7	2	0	3270	-7
114.22	8	2	2	2870	-8
114.27	7	1	0	3060	-7
114.45	8	8	0	3630	-8
114.59	7	1	0	3020	-7
114.6	7	6	0	3120	-7
114.91	5	2	0	2860	-5
115.23	7	2	0	3020	-7
115.55	8	2	0	3470	-8
115.87	3	3	0	2550	-3
116.19	5	4	5	5120	-5
116.51	4	5	5	5420	-4
116.83	4	5	4	4440	-4
117.15	4	6	3	3620	-4
117.465	5	4	4	4140	-5
117.786	3	5	5	5270	-3
117.924	5	4	5	5270	-5
117.934	5	6	5	5240	-5
118.254	5	6	6	5570	-5
118.574	5	5	5	5070	-5
118.894	5	4	5	5240	-5
119.219	5	4	5	5490	-5
119.624	4	6	5	5320	-4
119.66	3	4	4	4620	-3
119.972	4	5	4	4820	-4
120.292	3	4	5	5110	-3
120.612	3	4	4	4320	-3
120.93	3	3	4	4720	-3
121.07	3	3	3	3540	-3
121.729	2	3	4	4670	-2
121.989	3	3	4	4320	-3
122.309	5	5	4	4690	-5
122.629	5	4	4	4470	-5
123.039	7	6	3	3910	-7
123.26	7	5	2	3500	-7
123.58	7	5	3	3820	-7
123.9	7	3	3	4030	-7
124.22	9	2	1	3500	-9
124.55	8	3	0	3070	-8
124.87	9	3	0	3170	-9
125.19	9	1	0	3170	-9
125.51	9	1	0	3170	-9
125.83	9	8	0	3170	-9
126.147	9	8	0	3170	-9
126.467	9	8	0	3170	-9
126.572	8	7	0	3070	-8
127.098	6	7	1	3710	-6
127.423	4	5	1	3600	-4
127.808	6	1	0	2610	-6
128.128	7	2	0	2910	-7
128.453	8	1	1	3010	-8
128.773	6	2	3	3990	-6
129.093	7	3	3	3990	-7
129.413	8	3	4	4490	-8
129.733	6	5	5	5080	-6
130.048	6	5	5	5770	-6
130.368	4	6	6	6660	-4
130.688	1	7	4	4490	-1
131.008	0	8	6	6760	0
131.328	1	8	6	6710	-1
131.653	1	7	6	6640	-1
131.973	5	7	6	6850	-5
132.293	1	7	5	5760	-1
132.613	2	8	6	6640	-2
133.054	1	8	6	6640	-1
133.344	6	5	7	7770	-6
133.786	7	7	6	6580	-7
134.186	6	6	7	7170	-6
134.506	1	9	8	8880	-1
134.626	1	9	8	8340	-1
134.966	1	10	8	8410	-1
135.286	1	10	9	9420	-1
135.537	1	10	9	9050	-1
135.857	4	9	5	5720	-4
136.177	5	8	6	6150	-5
136.497	7	7	7	7260	-7
136.817	7	6	7	7690	-7
137.137	5	8	6	6230	-5
137.457	3	8	5	5070	-3
137.777	5	7	6	6320	-5
138.097	5	6	6	6080	-5
138.357	7	8	6	6660	-7
138.677	6	7	7	7820	-6
138.997	6	7	4	4700	-6
139.317	6	8	8	8050	-6
139.637	4	8	6	6290	-4
139.957	7	7	7	7300	-7
140.277	1	9	4	4970	-1
140.625	1	7	4	4990	-1
140.94	4	5	5	5110	-4
141.26	4	6	5	5890	-4
141.58	5	5	6	6030	-5
141.9	8	5	8	8700	-8
142.216	9	4	9	9940	-9
142.526	9	3	7	7500	-9
142.846	5	4	3	3660	-5
143.478	8	6	6	6200	-8
143.798	8	3	6	6830	-8
144.118	9	5	5	5400	-9
145.446	7	10	5	5870	-7
145.766	9	3	8	8420	-9
146.086	8	3	9	9690	-8
146.406	7	6	9	9060	-7
146.726	10	4	5	5930	-10
147.016	9	6	7	7950	-9
147.356	9	5	6	6060	-9
147.676	9	5	3	3960	-9
147.996	8	4	3	3670	-8
148.316	6	4	0	2510	-6
148.636	10	1	0	3090	-10
149.276	9	1	0	2940	-9
149.596	9	1	0	3240	-9
149.916	9	1	0	3180	-9
150.228	9	1	0	3240	-9
150.548	5	3	0	2150	-5
150.868	6	6	0	2860	-6
151.188	1	6	4	4650	-1
151.488	1	7	5	5320	-1
151.688	1	7	5	5120	-1
152.008	1	6	5	5760	-1
152.328	2	6	6	6550	-2
152.648	3	5	6	6790	-3
152.968	4	4	7	7160	-4
153.1	2	5	7	7960	-2
153.42	5	5	7	7740	-5
153.74	5	5	8	8220	-5
154.06	5	5	7	7610	-5
154.38	6	5	7	7260	-6
154.52	7	6	7	7930	-7
154.627	7	7	5	5050	-7
154.947	8	8	4	4240	-8
155.276	10	4	3	3890	-10
156.152	6	7	4	4470	-6
156.882	8	3	3	3260	-8
157.202	9	3	0	3340	-9
157.522	8	2	0	3110	-8
157.842	9	3	0	3170	-9
158.636	9	2	0	3390	-9
158.949	8	1	0	2950	-8
159.269	10	1	0	3080	-10
159.589	9	2	0	3190	-9
159.91	7	4	1	3410	-7
160.239	8	3	0	3080	-8
161.466	9	1	0	3310	-9
161.786	9	1	0	3310	-9
162.106	7	6	0	3310	-7
162.42	1	7	2	3230	-1
162.74	4	6	3	3590	-4
163.06	5	5	1	3050	-5
163.38	6	5	1	3160	-6
163.695	9	2	1	3300	-9
164.015	9	2	0	3260	-9
164.335	6	4	1	2940	-6
164.655	9	0	1	3320	-9
165.481	10	0	0	3060	-10
165.81	8	1	0	3010	-8
166.13	8	2	0	3050	-8
166.45	10	0	0	3040	-10
166.77	9	2	0	2900	-9
167.195	10	3	0	3140	-10
167.3	10	1	0	3140	-10
167.503	8	1	0	3140	-8
167.61	10	4	0	2890	-10
167.823	8	1	0	3270	-8
168.143	7	0	0	2930	-7
168.463	8	0	0	3150	-8
