%Spice Depth (m)	EM1	EM2	EM3	EM4	EM5 
0.61	0.00	0.08	0.16	0.72	0.04
0.93	0.00	0.06	0.33	0.58	0.03
1.25	0.00	0.09	0.14	0.74	0.04
1.55	0.00	0.05	0.09	0.78	0.08
1.85	0.00	0.13	0.06	0.50	0.31
2.17	0.00	0.01	0.04	0.30	0.65
2.48	0.00	0.03	0.08	0.64	0.26
2.49	0.00	0.00	0.03	0.19	0.77
2.80	0.00	0.04	0.08	0.71	0.17
3.05	0.00	0.12	0.27	0.58	0.03
3.37	0.00	0.33	0.07	0.53	0.06
3.69	0.00	0.34	0.08	0.52	0.06
3.93	0.00	0.17	0.23	0.57	0.03
4.00	0.00	0.31	0.09	0.57	0.03
4.26	0.00	0.40	0.24	0.34	0.02
4.31	0.00	0.25	0.08	0.64	0.03
4.57	0.00	0.19	0.23	0.54	0.03
4.89	0.00	0.21	0.13	0.63	0.03
5.21	0.00	0.02	0.25	0.70	0.03
5.52	0.00	0.00	0.10	0.85	0.04
5.84	0.00	0.00	0.10	0.86	0.04
6.16	0.00	0.00	0.10	0.86	0.04
6.36	0.00	0.32	0.16	0.49	0.03
6.68	0.00	0.16	0.10	0.70	0.04
7.00	0.00	0.00	0.10	0.85	0.05
7.32	0.00	0.04	0.41	0.53	0.03
7.63	0.00	0.00	0.10	0.86	0.04
7.93	0.00	0.00	0.10	0.86	0.04
8.25	0.00	0.23	0.12	0.62	0.03
8.55	0.00	0.32	0.21	0.44	0.03
8.87	0.00	0.41	0.29	0.29	0.02
9.19	0.00	0.45	0.33	0.21	0.02
9.50	0.00	0.07	0.67	0.24	0.01
9.82	0.00	0.28	0.17	0.52	0.03
10.14	0.00	0.26	0.23	0.49	0.03
10.48	0.23	0.14	0.46	0.16	0.01
10.80	0.00	0.30	0.19	0.47	0.03
11.11	0.00	0.40	0.37	0.21	0.02
11.43	0.00	0.37	0.42	0.19	0.01
11.75	0.00	0.04	0.44	0.49	0.02
12.07	0.00	0.24	0.07	0.51	0.18
12.70	0.00	0.34	0.22	0.42	0.03
13.02	0.02	0.09	0.45	0.42	0.02
13.34	0.00	0.42	0.36	0.21	0.02
13.66	0.00	0.55	0.30	0.14	0.01
13.98	0.00	0.28	0.12	0.57	0.03
14.30	0.00	0.27	0.34	0.37	0.02
14.61	0.05	0.44	0.47	0.03	0.01
18.01	0.00	0.40	0.44	0.15	0.01
18.22	0.00	0.27	0.34	0.36	0.02
18.33	0.03	0.40	0.54	0.02	0.01
18.65	0.00	0.04	0.42	0.51	0.03
18.97	0.07	0.31	0.59	0.02	0.00
19.29	0.00	0.15	0.16	0.65	0.03
19.61	0.00	0.04	0.35	0.59	0.03
19.93	0.00	0.17	0.14	0.65	0.03
20.25	0.00	0.23	0.26	0.48	0.03
20.57	0.00	0.20	0.22	0.54	0.03
20.93	0.00	0.51	0.42	0.05	0.01
21.24	0.05	0.48	0.43	0.03	0.01
21.56	0.00	0.35	0.45	0.18	0.01
21.88	0.00	0.33	0.54	0.12	0.01
22.53	0.14	0.11	0.70	0.06	0.00
22.85	0.05	0.07	0.67	0.20	0.01
23.17	0.00	0.30	0.49	0.20	0.01
23.49	0.00	0.47	0.48	0.04	0.01
23.91	0.00	0.23	0.49	0.26	0.02
24.23	0.00	0.51	0.45	0.04	0.01
24.55	0.00	0.35	0.49	0.14	0.01
24.87	0.00	0.17	0.09	0.69	0.05
25.19	0.00	0.22	0.07	0.64	0.07
25.52	0.00	0.31	0.24	0.43	0.03
25.84	0.00	0.31	0.29	0.38	0.02
26.16	0.00	0.37	0.38	0.24	0.02
26.48	0.03	0.40	0.54	0.02	0.01
26.89	0.00	0.23	0.41	0.33	0.02
27.21	0.00	0.18	0.08	0.70	0.04
27.53	0.00	0.21	0.10	0.66	0.03
27.85	0.00	0.06	0.54	0.38	0.02
28.16	0.00	0.07	0.61	0.30	0.01
