% Johnson, T.C.; Werne, J.P.; Brown, E.T.; Abbott, A.; Berke, M.; Steinman,
% B.A.; Halbur, J.; Contreras, S.; Grosshuesch, S.; Deino, A.L.; Lyons,
% R.P.; Scholz, C.A.; Schouten, S.; Sinninghe Damste, J.S. (2016): A
% Progressively Wetter Climate In Southern East Africa Over The Past 1.3
% Million Years. ­doi:10.1038/nature19065 Nature
%
% YBP	Lake Level m	
0.35477193	0
0.363157895	0
0.484754386	0
0.572807018	0
0.727947368	0
0.86631579	0
0.996298246	0
1.134666667	0
1.365280702	0
1.587508772	0
1.759421053	0
1.983527363	0
2.089291045	0
2.394139303	0
2.81719403	0
3.16559204	0
3.57620398	0
3.937044776	0
4.142350746	0
4.322165714	0
4.813822857	0
5.30548	0
5.797137143	0
5.985605714	0
6.22324	0
6.477262857	0
6.714897143	0
7.233832	0
7.744408	0
8.254984	0
8.827448	0
9.183304	0
9.755768	0
10.173512	0
10.374648	0
10.85428	-31
11.20125625	-36
11.22149375	-36
11.7173125	-73
11.74766875	-107
11.97028125	-38
12.17265625	-38
12.33455625	-38
12.344675	-38
12.45598125	0
12.55312125	0
12.80774359	0
13.08634615	0
13.13128205	0
13.3492623	0
13.66332787	-36
13.89634426	-59
14.85133684	0
15.87396842	0
17.24020421	0
19.00298586	0
20.32613737	0
20.83885859	0
21.7044433	0
22.81351546	-34
24.05652128	0
26.99889571	-35
29.35730061	-13
32.16257733	0
35.21432151	-25
38.51559699	0
39.91117524	0
41.47447606	0
44.92069992	0
47.65805863	0
51.09478876	0
56.8511535	-10
60.87016572	-66
63.42556128	-74
66.50311197	-51
71.47149715	-22
74.03480415	-46
76.03077718	-6
81.40433691	0
83.46589128	-250
85.59503758	0
86.8285906	0
89.50185208	0
93.81421826	0
97.36279544	0
101.5713419	-333
104.4519589	-604
107.3576247	-600
109.862509	-416
112.120036	-432
114.7814756	-194
115.2010437	-296
117.646437	-431
118.4354756	-431
121.6417275	0
121.9360514	-146
123.5767506	0
124.6635805	0
126.0240358	-25
126.1014771	-25
128.0856488	-36
129.9274959	-550
130.20168	-547
130.5972585	-556
132.5584072	-505
134.310255	-440
134.3835102	-424
136.390705	-511
136.392798	-511
137.9643037	-484
138.4647914	-451
139.6864121	-351
140.3698739	-534
142.0919824	-575
142.4597243	-551
144.0903458	-555
144.3935086	-590
145.1846022	-572
146.4815651	-522
161.6504706	-633
169.3246164	-444
171.1776769	-229
172.7724211	-42
174.685576	0
175.1229006	-79
176.9697972	-130
178.81276	0
179.2779261	0
179.755877	-121
180.858311	-402
181.4395228	-390
182.8625576	-24
186.1492074	-155
187.2073867	-483
188.0788153	-544
190.1528817	-584
191.4609032	-574
194.8429911	-583
196.5857431	-381
197.7654521	-509
199.5962992	-374
201.0977471	-460
201.4884299	-355
204.1925681	-288
204.9279712	-315
208.8769322	-183
210.4952019	-289
212.1977365	-305
214.7122786	-28
216.0241304	0
218.5922957	-53
219.6322015	-218
221.6852016	-167
221.7579759	-167
224.9179108	0
227.8939949	-87
227.9208065	-87
230.5330193	-68
233.758068	-151
233.8921259	-157
236.7188313	-83
239.671934	-129
242.3492607	-299
245.2870426	-285
250.1858992	-274
254.0704641	-420
258.0360884	-388
259.3479867	-382
263.7276322	-319
268.6759333	-356
273.5543994	-142
279.2110258	-197
285.1170625	0
290.8535002	-104
298.0016004	0
303.3339933	0
315.6648402	-11
319.9995919	-122
324.2894496	-7
330.5845664	-124
333.2323114	-138
333.9468836	-237
334.8619851	-31
336.2402492	-394
336.6869504	-328
337.2182031	-294
337.8931185	-263
338.5770128	-95
339.2070336	0
339.7981458	0
340.4199359	-102
341.0581874	-401
341.6889565	-359
342.764182	-384
343.4106642	-431
344.7939146	-263
352.7592439	-62
360.73325	0
368.4469512	0
376.1606524	0
384.2908415	0
392.9850244	0
400.9243232	0
405.1929698	0
405.8921868	0
416.4814855	-113
423.9222866	-537
427.2971203	-403
430.1626977	-479
433.258653	-456
438.4524443	-498
444.3841392	-497
448.8760295	-381
455.820087	-309
459.2621198	-329
465.4412812	-357
471.2829883	-63
481.0616611	0
488.5381463	0
494.9122812	0
503.0711738	0
512.8273496	0
517.4842176	0
522.756002	-31
524.7809136	0
528.6122115	-36
530.5294581	0
532.8013954	-512
535.348138	-519
537.8980761	-443
540.8070164	-522
544.0637412	-594
547.5159583	-383
551.3191731	0
562.2845166	-282
565.4434953	-479
568.6335749	-389
571.6281623	-347
574.6183066	-398
578.3859773	-100
581.558285	0
585.2015515	-25
588.9914372	0
592.0605613	0
595.4283604	-13
601.8980798	0
604.5199409	0
607.577548	-181
610.6905465	-136
613.5745938	0
616.9239291	-126
619.8633678	-427
623.3899557	-338
626.2924668	-271
629.7230428	-281
632.8249631	-165
636.1115214	-30
638.6152142	-155
640.8271787	0
645.4135894	-182
646.7208272	-187
649.5457903	-227
652.6661743	-303
655.3323486	-289
658.1093058	-185
660.5982275	-61
661.4069424	-61
667.4076809	-72
669.5568685	-335
678.415805	-407
682.2451994	-397
686.0487445	-383
688.3677991	-363
692.4630724	-198
695.3840473	0
699.6750369	0
702.9985229	0
709.6491876	-179
712.5	-364
715.310192	-331
735.3360414	-266
741.7282127	-370
746.5435746	-364
749.5753323	-197
756.8279173	-21
761.8353028	0
764.7599705	0
767.5258493	0
770.2104874	-60
784.2651403	0
786.4881832	0
789.1875923	-5
794.5084055	0
800.710647	-181
806.7345899	0
811.7269485	0
816.400917	0
832.3013245	-286
840.2228732	-247
854.9961793	-244
860.4597555	-278
876.0863474	-71
881.3907285	-195
887.1599592	-108
892.3815588	0
904.2638818	-215
910.669893	-171
915.6869646	-216
918.0074488	-262
920.8376164	-251
923.5633147	0
925.7001862	0
928.0649907	0
930.4519553	0
932.6757143	0
935.0418367	0
938.4540816	-45
940.1579592	-174
941.2377551	-327
946.4414286	-147
949.1106122	-112
950.6910204	0
952.525102	-188
964.4432653	-483
977.21	-583
983.7516327	0
985.8932653	-64
989.4305405	-157
990.4661622	0
991.650973	-290
992.6132432	-546
993.5978919	-517
994.4880541	-600
995.3819459	-248
996.3578919	-416
997.2393514	-337
998.1929189	-87
999.1564324	-109
999.9545946	-30
1000.305189	-190
1002.065622	-467
1003.246703	-600
1004.235081	-600
1032.345118	-570
1036.392914	-150
1039.662442	-42
1045.567651	-420
1048.351765	-473
1051.504954	-279
1054.289067	-358
1057.414175	-386
1060.471083	-335
1063.463804	-228
1066.913859	-70
1071.470304	-213
1081.843111	-183
1085.728997	0
1089.846782	-185
1093.75147	-320
1099.066359	-408
1104.475261	-428
1110.103527	-353
1116.057706	-58
1119.22909	-223
1127.37326	-377
1131.138683	-332
1134.916545	-23
1138.458033	-242
1146.026199	-269
1149.053466	-8
1151.815329	-70
1154.855036	-330
1159.101503	-294
1161.834337	-277
1165.419899	-194
1166.522066	0
1167.884449	0
1175.126873	-435
1177.474257	-182
1178.62547	-443
1179.752161	-595
1180.934708	-565
1182.254857	-484
1183.500074	-333
1184.792975	-548
1185.956449	-245
1187.205754	-296
1188.393751	-600
1189.448235	-580
1206.182	-527
1224.825592	-542
1227.933787	-547
1229.469536	-459
1231.102531	-499
1232.447459	0
1234.029079	-453
1235.781337	-368
1237.575797	-163
1240.586746	-615
1241.823419	-521
1243.113301	-570
1261.500092	-591
1263.3129	-474
1264.855988	-137
1266.294492	-496
1267.980697	-703
1277.351152	-8
